{'seq': 1920, 'type': 'Truck', 'timestamp': '2023-11-19T18:41:00', 'truckId': 191, 'positionLatitude': 38.0453987121582, 'positionLongitude': -84.42088317871094, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1921, 'type': 'Load', 'timestamp': '2023-11-19T18:41:19', 'loadId': 10287, 'originLatitude': 41.9119, 'originLongitude': -83.4023, 'destinationLatitude': 42.6004, 'destinationLongitude': -73.7705, 'equipmentType': 'Van', 'price': 1700.0, 'mileage': 592.0}
{'seq': 1922, 'type': 'Truck', 'timestamp': '2023-11-19T18:41:23', 'truckId': 182, 'positionLatitude': 44.05865478515625, 'positionLongitude': -84.7799072265625, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1923, 'type': 'Truck', 'timestamp': '2023-11-19T18:41:44', 'truckId': 215, 'positionLatitude': 35.0131721496582, 'positionLongitude': -85.53628540039062, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1924, 'type': 'Truck', 'timestamp': '2023-11-19T18:42:27', 'truckId': 148, 'positionLatitude': 42.29718017578125, 'positionLongitude': -83.98307037353516, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1925, 'type': 'Truck', 'timestamp': '2023-11-19T18:42:33', 'truckId': 228, 'positionLatitude': 34.26520919799805, 'positionLongitude': -83.44737243652344, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1926, 'type': 'Truck', 'timestamp': '2023-11-19T18:42:46', 'truckId': 268, 'positionLatitude': 39.38967514038086, 'positionLongitude': -84.36373138427734, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1927, 'type': 'Truck', 'timestamp': '2023-11-19T18:42:56', 'truckId': 416, 'positionLatitude': 42.75659942626953, 'positionLongitude': -71.12525939941406, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1928, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:00', 'truckId': 195, 'positionLatitude': 40.99566650390625, 'positionLongitude': -76.64603424072266, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1929, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:02', 'truckId': 223, 'positionLatitude': 35.88131332397461, 'positionLongitude': -84.23655700683594, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1930, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:07', 'truckId': 377, 'positionLatitude': 34.79449844360352, 'positionLongitude': -82.38619995117188, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1931, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:12', 'truckId': 292, 'positionLatitude': 41.38570022583008, 'positionLongitude': -81.5119857788086, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
